name,selected,shared.name,symbol,moduleColor,Abs.GS.flux.,MM.darkred,node_type,source
AN_TER,false,AN_TER,AN_TER,turquoise,0.5904376,-0.3351237,Target,NA
AN0004,false,AN0004,AN0004,white,0.01736387,0.1257196,Target,NA
AN0005,false,AN0005,lbuA,NA,NA,NA,NA,NA
AN0006,false,AN0006,AN0006,NA,NA,NA,NA,NA
AN0008,false,AN0008,AN0008,NA,NA,NA,NA,NA
AN0009,false,AN0009,AN0009,NA,NA,NA,NA,NA
AN0010,false,AN0010,AN0010,NA,NA,NA,NA,NA
AN0011,false,AN0011,AN0011,NA,NA,NA,NA,NA
AN0012,false,AN0012,AN0012,NA,NA,NA,NA,NA
AN0013,false,AN0013,AN0013,NA,NA,NA,NA,NA
AN0014,false,AN0014,AN0014,NA,NA,NA,NA,NA
AN0015,false,AN0015,AN0015,NA,NA,NA,NA,NA
AN0016,false,AN0016,AN0016,NA,NA,NA,NA,NA
AN0017,false,AN0017,AN0017,NA,NA,NA,NA,NA
AN0018,false,AN0018,AN0018,NA,NA,NA,NA,NA
AN0019,false,AN0019,AN0019,NA,NA,NA,NA,NA
AN0020,false,AN0020,AN0020,NA,NA,NA,NA,NA
AN0021,false,AN0021,AN0021,NA,NA,NA,NA,NA
AN0023,false,AN0023,AN0023,NA,NA,NA,NA,NA
AN0024,false,AN0024,AN0024,NA,NA,NA,NA,NA
AN0025,false,AN0025,AN0025,NA,NA,NA,NA,NA
AN0026,false,AN0026,AN0026,NA,NA,NA,Transcription factor,Extebeste et al. 2021
AN0027,false,AN0027,AN0027,NA,NA,NA,NA,NA
AN0028,false,AN0028,AN0028,NA,NA,NA,NA,NA
AN0030,false,AN0030,AN0030,NA,NA,NA,NA,NA
AN0031,false,AN0031,AN0031,green,0.02505931,5e-05,Target,NA
AN0032,false,AN0032,AN0032,NA,NA,NA,NA,NA
AN0033,false,AN0033,AN0033,blue,0.442175847,0.208750743,Target,NA
AN0034,false,AN0034,AN0034,red,0.09753081,-0.4201578,Target,NA
AN0035,false,AN0035,AN0035,NA,NA,NA,NA,NA
AN0036,false,AN0036,AN0036,NA,NA,NA,NA,NA
AN0038,false,AN0038,atmA,brown,0.1189983,0.07369567,Kinase,De Souza et al. 2013 PLoS One
AN0039,false,AN0039,AN0039,darkgrey,0.4412775,-0.5300145,Target,NA
AN0040,false,AN0040,AN0040,blue,0.500613985,0.390121981,Target,NA
AN0041,false,AN0041,AN0041,blue,0.1586005,0.158776,Target,NA
AN0042,false,AN0042,AN0042,blue,0.422232727,0.371503857,Target,NA
AN0043,false,AN0043,AN0043,green,0.07209793,0.01348889,Target,NA
AN0044,false,AN0044,rad5,brown,0.0529566,0.04710408,Target,NA
