gene,node_type,source
AN4483,Kinase,De Souza et al. 2013 PLoS One
AN4536,Kinase,De Souza et al. 2013 PLoS One
AN4563,Kinase,De Souza et al. 2013 PLoS One
AN4668,Kinase,De Souza et al. 2013 PLoS One
AN4717,Kinase,De Souza et al. 2013 PLoS One
AN4887,Kinase,De Souza et al. 2013 PLoS One
AN4935,Kinase,De Souza et al. 2013 PLoS One
AN4936,Kinase,De Souza et al. 2013 PLoS One
AN4980,Kinase,De Souza et al. 2013 PLoS One
AN5494,Kinase,De Souza et al. 2013 PLoS One
AN5529,Kinase,De Souza et al. 2013 PLoS One
AN5674,Kinase,De Souza et al. 2013 PLoS One
AN5757,Kinase,De Souza et al. 2013 PLoS One
AN5759,Kinase,De Souza et al. 2013 PLoS One
AN5815,Kinase,De Souza et al. 2013 PLoS One
AN5973,Kinase,De Souza et al. 2013 PLoS One
AN6044,Kinase,De Souza et al. 2013 PLoS One
AN6243,Kinase,De Souza et al. 2013 PLoS One
AN6305,Kinase,De Souza et al. 2013 PLoS One
AN6339,Kinase,De Souza et al. 2013 PLoS One
AN6347,Kinase,De Souza et al. 2013 PLoS One
AN6508,Kinase,De Souza et al. 2013 PLoS One
AN7104,Kinase,De Souza et al. 2013 PLoS One
AN7185,Kinase,De Souza et al. 2013 PLoS One
AN7537,Kinase,De Souza et al. 2013 PLoS One
AN7563,Kinase,De Souza et al. 2013 PLoS One
AN7572,Kinase,De Souza et al. 2013 PLoS One
AN7678,Kinase,De Souza et al. 2013 PLoS One
AN7695,Kinase,De Souza et al. 2013 PLoS One
AN7737,Kinase,De Souza et al. 2013 PLoS One
AN8190,Kinase,De Souza et al. 2013 PLoS One
AN8261,Kinase,De Souza et al. 2013 PLoS One
AN8285,Kinase,De Souza et al. 2013 PLoS One
AN8751,Kinase,De Souza et al. 2013 PLoS One
AN8827,Kinase,De Souza et al. 2013 PLoS One
AN8836,Kinase,De Souza et al. 2013 PLoS One
AN8865,Kinase,De Souza et al. 2013 PLoS One
AN9504,Kinase,De Souza et al. 2013 PLoS One
AN0038,Kinase,De Souza et al. 2013 PLoS One
AN0106,Kinase,De Souza et al. 2013 PLoS One
AN0124,Kinase,De Souza et al. 2013 PLoS One
AN0144,Kinase,De Souza et al. 2013 PLoS One
